"spkid","full_name","diameter","extent","rot_per","orbit_id","epoch","e","a","q","i","w","ad","per","per_y","sigma_e","sigma_a","sigma_q","sigma_i","sigma_per","first_obs","last_obs"
54259345,"       (2010 VZ278)",,,,"JPL 2",2459600.5,0.0844,5.139,4.706,4.79,201.12,5.57,4.26e+03,11.7,4.0e-07,4.5e-07,2.4e-06,2.6e-05,5.6e-04,2009-09-27,2021-11-06
54260852,"       (2010 VB279)",,,,"JPL 1",2459600.5,0.0861,5.128,4.687,9.18,331.22,5.57,4.24e+03,11.6,7.9e-07,3.6e-07,4.1e-06,1.9e-05,4.5e-04,2009-10-24,2021-10-31
54263078,"       (2010 VH279)",,,,"JPL 1",2459600.5,0.2032,5.246,4.180,3.58,358.12,6.31,4.39e+03,12,3.0e-07,9.0e-07,1.7e-06,1.2e-05,1.1e-03,2000-01-03,2021-11-01
3552749,"       (2010 WA6)",,,,"JPL 22",2459600.5,0.1020,5.187,4.658,7.56,16.23,5.72,4.32e+03,11.8,1.0e-07,2.6e-07,7.1e-07,9.9e-06,3.3e-04,2009-10-15,2021-11-25
3553218,"       (2010 WH12)",,,,"JPL 29",2459600.5,0.0887,5.083,4.633,24.69,126.80,5.53,4.19e+03,11.5,2.2e-07,2.6e-07,1.2e-06,6.1e-06,3.2e-04,2010-11-16,2022-03-02
54132169,"       (2010 WQ14)",,,,"JPL 12",2459600.5,0.1493,5.21,4.432,22.46,175.76,5.99,4.34e+03,11.9,6.1e-07,2.3e-07,3.3e-06,1.5e-05,2.8e-04,1998-12-12,2021-11-27
3556821,"       (2010 WR14)",,,,"JPL 13",2459600.5,0.0743,5.208,4.821,30.86,224.43,5.59,4.34e+03,11.9,2.6e-07,2.7e-07,1.5e-06,1.1e-05,3.4e-04,1998-11-17,2022-01-06
3598055,"       (2010 WD17)",,,,"JPL 17",2459600.5,0.0468,5.297,5.049,25.07,9.87,5.55,4.45e+03,12.2,3.3e-07,5.5e-07,2.2e-06,1.7e-05,7.0e-04,2010-11-02,2021-11-25
54155795,"       (2010 WF18)",,,,"JPL 3",2459600.5,0.0146,5.136,5.061,19.90,237.68,5.21,4.25e+03,11.6,1.5e-07,3.9e-07,5.2e-07,1.8e-05,4.9e-04,2010-11-27,2021-11-30
3556829,"       (2010 WZ18)",,,,"JPL 16",2459600.5,0.0815,5.307,4.874,6.78,233.68,5.74,4.47e+03,12.2,9.8e-08,2.5e-07,7.0e-07,1.4e-05,3.2e-04,2001-02-20,2021-11-09
3554997,"       (2010 WO19)",,,,"JPL 7",2459600.5,0.0597,5.205,4.894,10.88,175.96,5.52,4.34e+03,11.9,5.5e-07,4.2e-07,3.1e-06,1.6e-05,5.2e-04,2010-11-10,2021-11-26
3553328,"       (2010 WJ23)",,,,"JPL 9",2459600.5,0.0593,5.181,4.874,23.15,356.39,5.49,4.31e+03,11.8,2.2e-07,3.1e-07,1.3e-06,2.1e-05,3.9e-04,2010-11-13,2021-11-10
3553332,"       (2010 WX23)",,,,"JPL 8",2459600.5,0.0354,5.121,4.940,7.49,120.60,5.30,4.23e+03,11.6,1.1e-07,3.7e-07,7.5e-07,1.1e-05,4.6e-04,2010-11-27,2021-11-30
3553338,"       (2010 WH24)",,,,"JPL 11",2459600.5,0.1008,5.148,4.629,20.20,18.36,5.67,4.27e+03,11.7,2.4e-07,3.0e-07,1.4e-06,2.3e-05,3.7e-04,2010-10-14,2021-12-02
3553343,"       (2010 WU25)",,,,"JPL 15",2459600.5,0.0452,5.229,4.993,25.65,138.69,5.47,4.37e+03,12,2.9e-07,4.3e-07,1.8e-06,1.0e-05,5.4e-04,2009-11-21,2021-11-28
3553347,"       (2010 WA28)",,,,"JPL 11",2459600.5,0.0893,5.168,4.706,4.11,39.99,5.63,4.29e+03,11.7,2.7e-07,2.1e-07,1.5e-06,2.0e-05,2.7e-04,2009-09-27,2021-11-30
54226484,"       (2010 WB30)",,,,"JPL 5",2459600.5,0.0531,5.26,4.981,3.82,190.58,5.54,4.41e+03,12.1,8.8e-06,1.1e-05,5.6e-05,3.6e-05,1.3e-02,2010-11-27,2021-11-08
3553352,"       (2010 WE30)",,,,"JPL 5",2459600.5,0.1401,5.151,4.430,10.86,329.93,5.87,4.27e+03,11.7,8.5e-06,4.3e-06,4.8e-05,2.8e-05,5.3e-03,2010-11-27,2021-11-07
