            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
2450666.500000000, A.D. 1997-Aug-06 00:00:00.0000,  4.887750160529321E+08,  4.911006457960322E+08,  2.599108661027967E+08,  2.857004748166893E-02,  7.400233232386192E+08, -3.035387078581619E+04,
2450676.500000000, A.D. 1997-Aug-16 00:00:00.0000,  4.801624618665924E+08,  4.991250316870540E+08,  2.598234075038286E+08,  2.855844961208202E-02,  7.397229144276186E+08, -2.972649729071296E+04,
2450686.500000000, A.D. 1997-Aug-26 00:00:00.0000,  4.714322703074763E+08,  5.070274583951381E+08,  2.596723939259366E+08,  2.854709555749648E-02,  7.394288209294535E+08, -2.909083291808864E+04,
2450696.500000000, A.D. 1997-Sep-05 00:00:00.0000,  4.625864334378737E+08,  5.148058392585136E+08,  2.594577846047031E+08,  2.853598848993502E-02,  7.391411249060732E+08, -2.844702761651560E+04,
2450706.500000000, A.D. 1997-Sep-15 00:00:00.0000,  4.536269796584061E+08,  5.224581162779701E+08,  2.591795559782871E+08,  2.852513152285885E-02,  7.388599070025623E+08, -2.779523479331560E+04,
2450716.500000000, A.D. 1997-Sep-25 00:00:00.0000,  4.445559732073724E+08,  5.299822609271443E+08,  2.588377017741148E+08,  2.851452770985667E-02,  7.385852463131844E+08, -2.713561118955995E+04,
2450726.500000000, A.D. 1997-Oct-05 00:00:00.0000,  4.353755136405380E+08,  5.373762749559448E+08,  2.584322330885858E+08,  2.850418004335712E-02,  7.383172203480308E+08, -2.646831692074372E+04,
2450736.500000000, A.D. 1997-Oct-15 00:00:00.0000,  4.260877352900341E+08,  5.446381911863718E+08,  2.579631784591411E+08,  2.849409145332066E-02,  7.380559049991373E+08, -2.579351544291457E+04,
2450746.500000000, A.D. 1997-Oct-25 00:00:00.0000,  4.166948067033495E+08,  5.517660743018441E+08,  2.574305839300025E+08,  2.848426480600262E-02,  7.378013745084460E+08, -2.511137327970689E+04,
2450756.500000000, A.D. 1997-Nov-04 00:00:00.0000,  4.071989300638846E+08,  5.587580216288366E+08,  2.568345131115392E+08,  2.847470290280497E-02,  7.375537014380616E+08, -2.442205985321386E+04,
2450766.500000000, A.D. 1997-Nov-14 00:00:00.0000,  3.976023405928995E+08,  5.656121639095643E+08,  2.561750472326309E+08,  2.846540847918252E-02,  7.373129566419218E+08, -2.372574735253678E+04,
2450776.500000000, A.D. 1997-Nov-24 00:00:00.0000,  3.879073059330874E+08,  5.723266660650096E+08,  2.554522851858721E+08,  2.845638420359920E-02,  7.370792092387621E+08, -2.302261061217721E+04,
2450786.500000000, A.D. 1997-Dec-04 00:00:00.0000,  3.781161255141741E+08,  5.788997279473133E+08,  2.546663435652679E+08,  2.844763267652128E-02,  7.368525265860374E+08, -2.231282705074905E+04,
2450796.500000000, A.D. 1997-Dec-14 00:00:00.0000,  3.682311299006857E+08,  5.853295850803883E+08,  2.538173566958100E+08,  2.843915642941838E-02,  7.366329742540468E+08, -2.159657668824141E+04,
2450806.500000000, A.D. 1997-Dec-24 00:00:00.0000,  3.582546801219844E+08,  5.916145093877041E+08,  2.529054766542674E+08,  2.843095792374290E-02,  7.364206159994990E+08, -2.087404226323437E+04,
2450816.500000000, A.D. 1998-Jan-03 00:00:00.0000,  3.481891669839412E+08,  5.977528099053593E+08,  2.519308732798243E+08,  2.842303954980894E-02,  7.362155137364727E+08, -2.014540964587506E+04,
2450826.500000000, A.D. 1998-Jan-13 00:00:00.0000,  3.380370103596036E+08,  6.037428334801556E+08,  2.508937341739859E+08,  2.841540362551764E-02,  7.360177275034021E+08, -1.941086808974430E+04,
2450836.500000000, A.D. 1998-Jan-23 00:00:00.0000,  3.278006584594245E+08,  6.095829654552987E+08,  2.497942646920198E+08,  2.840805239507536E-02,  7.358273154298738E+08, -1.867061007474340E+04,
2450846.500000000, A.D. 1998-Feb-02 00:00:00.0000,  3.174825870833048E+08,  6.152716303439205E+08,  2.486326879270792E+08,  2.840098802779221E-02,  7.356443337055064E+08, -1.792483106987724E+04,
2450856.500000000, A.D. 1998-Feb-12 00:00:00.0000,  3.070852988556654E+08,  6.208072924897133E+08,  2.474092446872637E+08,  2.839421261698331E-02,  7.354688365514913E+08, -1.717372924049151E+04,
2450866.500000000, A.D. 1998-Feb-22 00:00:00.0000,  2.966113224447111E+08,  6.261884567139262E+08,  2.461241934656720E+08,  2.838772817898499E-02,  7.353008761951100E+08, -1.641750515947412E+04,
2450876.500000000, A.D. 1998-Mar-04 00:00:00.0000,  2.860632117666430E+08,  6.314136689476713E+08,  2.447778104030889E+08,  2.838153665227177E-02,  7.351405028468621E+08, -1.565636157603904E+04,
2450886.500000000, A.D. 1998-Mar-14 00:00:00.0000,  2.754435451751201E+08,  6.364815168487252E+08,  2.433703892429582E+08,  2.837563989665729E-02,  7.349877646797676E+08, -1.489050319494477E+04,
2450896.500000000, A.D. 1998-Mar-24 00:00:00.0000,  2.647549246367214E+08,  6.413906304024206E+08,  2.419022412786066E+08,  2.837003969258577E-02,  7.348427078110144E+08, -1.412013645984935E+04,
2450906.500000000, A.D. 1998-Apr-03 00:00:00.0000,  2.539999748931182E+08,  6.461396825047297E+08,  2.403736952917735E+08,  2.836473774045514E-02,  7.347053762844261E+08, -1.334546962963893E+04,
2450916.500000000, A.D. 1998-Apr-13 00:00:00.0000,  2.431813426084815E+08,  6.507273895262234E+08,  2.387850974816763E+08,  2.835973565990313E-02,  7.345758120519696E+08, -1.256671279032394E+04,
2450926.500000000, A.D. 1998-Apr-23 00:00:00.0000,  2.323016955028203E+08,  6.551525118581512E+08,  2.371368113856884E+08,  2.835503498913202E-02,  7.344540549562659E+08, -1.178407771291137E+04,
2450936.500000000, A.D. 1998-May-03 00:00:00.0000,  2.213637214725983E+08,  6.594138544396679E+08,  2.354292177913806E+08,  2.835063718426350E-02,  7.343401427138782E+08, -1.099777784224597E+04,
2450946.500000000, A.D. 1998-May-13 00:00:00.0000,  2.103701276986133E+08,  6.635102672650845E+08,  2.336627146394966E+08,  2.834654361868700E-02,  7.342341108984337E+08, -1.020802832501686E+04,
2450956.500000000, A.D. 1998-May-23 00:00:00.0000,  1.993236397413076E+08,  6.674406458707426E+08,  2.318377169179052E+08,  2.834275558239890E-02,  7.341359929235069E+08, -9.415046026491633E+03,
2450966.500000000, A.D. 1998-Jun-02 00:00:00.0000,  1.882270006238409E+08,  6.712039318012568E+08,  2.299546565466916E+08,  2.833927428133929E-02,  7.340458200254399E+08, -8.619049521523108E+03,
2450976.500000000, A.D. 1998-Jun-12 00:00:00.0000,  1.770829699032604E+08,  6.747991130552280E+08,  2.280139822547433E+08,  2.833610083674881E-02,  7.339636212466854E+08, -7.820258977447636E+03,
2450986.500000000, A.D. 1998-Jun-22 00:00:00.0000,  1.658943227308710E+08,  6.782252245110784E+08,  2.260161594485186E+08,  2.833323628459944E-02,  7.338894234210595E+08, -7.018895929843210E+03,
2450996.500000000, A.D. 1998-Jul-02 00:00:00.0000,  1.546638489031425E+08,  6.814813483318251E+08,  2.239616700726395E+08,  2.833068157507411E-02,  7.338232511602656E+08, -6.215183267913973E+03,
2451006.500000000, A.D. 1998-Jul-12 00:00:00.0000,  1.433943519022892E+08,  6.845666143481287E+08,  2.218510124622405E+08,  2.832843757207074E-02,  7.337651268410473E+08, -5.409345026100760E+03,
2451016.500000000, A.D. 1998-Jul-22 00:00:00.0000,  1.320886479279257E+08,  6.874802004215832E+08,  2.196847011884876E+08,  2.832650505283992E-02,  7.337150705958021E+08, -4.601605982630823E+03,
2451026.500000000, A.D. 1998-Aug-01 00:00:00.0000,  1.207495649221688E+08,  6.902213327875042E+08,  2.174632668970840E+08,  2.832488470775146E-02,  7.336731003065358E+08, -3.792191410250189E+03,
2451036.500000000, A.D. 1998-Aug-11 00:00:00.0000,  1.093799415892502E+08,  6.927892863754272E+08,  2.151872561389312E+08,  2.832357714012258E-02,  7.336392316004124E+08, -2.981327011908229E+03,
2451046.500000000, A.D. 1998-Aug-21 00:00:00.0000,  9.798262641009071E+07,  6.951833851054616E+08,  2.128572311920275E+08,  2.832258286602932E-02,  7.336134778448690E+08, -2.169239071265784E+03,
2451056.500000000, A.D. 1998-Aug-31 00:00:00.0000,  8.656047665127112E+07,  6.974030021589034E+08,  2.104737698738806E+08,  2.832190231402939E-02,  7.335958501404366E+08, -1.356154730377288E+03,
2451066.500000000, A.D. 1998-Sep-10 00:00:00.0000,  7.511635736718103E+07,  6.994475602230971E+08,  2.080374653447445E+08,  2.832153582479666E-02,  7.335863573112731E+08, -5.423021120966663E+02,
2451076.500000000, A.D. 1998-Sep-20 00:00:00.0000,  6.365314039553039E+07,  7.013165317125463E+08,  2.055489259031293E+08,  2.832148365076802E-02,  7.335850058960162E+08,  2.720898245866565E+02,
2451086.500000000, A.D. 1998-Sep-30 00:00:00.0000,  5.217370334794331E+07,  7.030094389664967E+08,  2.030087747741353E+08,  2.832174595583442E-02,  7.335918001397802E+08,  1.086791350653231E+03,
2451096.500000000, A.D. 1998-Oct-10 00:00:00.0000,  4.068092859565540E+07,  7.045258544230807E+08,  2.004176498910868E+08,  2.832232281509251E-02,  7.336067419877238E+08,  1.901572285686301E+03,
2451106.500000000, A.D. 1998-Oct-20 00:00:00.0000,  2.917770225207923E+07,  7.058654007721364E+08,  1.977762036716087E+08,  2.832321421476031E-02,  7.336298310828654E+08,  2.716202441601843E+03,
2451116.500000000, A.D. 1998-Oct-30 00:00:00.0000,  1.766691315437350E+07,  7.070277510859840E+08,  1.950851027877856E+08,  2.832442005223319E-02,  7.336610647675322E+08,  3.530451906300089E+03,
2451126.500000000, A.D. 1998-Nov-09 00:00:00.0000,  6.151451844671062E+06,  7.080126289269886E+08,  1.923450279299602E+08,  2.832594013623020E-02,  7.337004380871530E+08,  4.344091240407117E+03,
2451136.500000000, A.D. 1998-Nov-19 00:00:00.0000, -5.365790448543157E+06,  7.088198084313791E+08,  1.895566735640887E+08,  2.832777418700692E-02,  7.337479437957677E+08,  5.156891627195505E+03,
2451146.500000000, A.D. 1998-Nov-29 00:00:00.0000, -1.688192282835074E+07,  7.094491143689697E+08,  1.867207476826888E+08,  2.832992183661872E-02,  7.338035723628497E+08,  5.968624989757101E+03,
2451156.500000000, A.D. 1998-Dec-09 00:00:00.0000, -2.839405574614292E+07,  7.099004221788782E+08,  1.838379715496132E+08,  2.833238262923686E-02,  7.338673119814923E+08,  6.779064170514227E+03,
2451166.500000000, A.D. 1998-Dec-19 00:00:00.0000, -3.989930201583095E+07,  7.101736579819827E+08,  1.809090794390062E+08,  2.833515602154328E-02,  7.339391485786334E+08,  7.587983090193738E+03,
2451176.500000000, A.D. 1998-Dec-29 00:00:00.0000, -5.139477782373022E+07,  7.102687985681655E+08,  1.779348183676574E+08,  2.833824138311292E-02,  7.340190658249602E+08,  8.395156534672786E+03,
2451186.500000000, A.D. 1999-Jan-08 00:00:00.0000, -6.287760373514101E+07,  7.101858713568679E+08,  1.749159478204945E+08,  2.834163799671936E-02,  7.341070451428246E+08,  9.200360053522694E+03,
2451196.500000000, A.D. 1999-Jan-18 00:00:00.0000, -7.434490569740985E+07,  7.099249543325684E+08,  1.718532394700250E+08,  2.834534505862797E-02,  7.342030657138376E+08,  1.000336993570320E+04,
2451206.500000000, A.D. 1999-Jan-28 00:00:00.0000, -8.579381603857191E+07,  7.094861759549583E+08,  1.687474768897814E+08,  2.834936167886347E-02,  7.343071044857987E+08,  1.080396311576371E+04,
2451216.500000000, A.D. 1999-Feb-07 00:00:00.0000, -9.722147446163394E+07,  7.088697150437083E+08,  1.655994552620824E+08,  2.835368688144890E-02,  7.344191361788857E+08,  1.160191713818254E+04,
2451226.500000000, A.D. 1999-Feb-17 00:00:00.0000, -1.086250290344298E+08,  7.080758006386360E+08,  1.624099810807938E+08,  2.835831960465258E-02,  7.345391332920527E+08,  1.239701023679686E+04,
2451236.500000000, A.D. 1999-Feb-27 00:00:00.0000, -1.200016371746863E+08,  7.071047118363632E+08,  1.591798718498203E+08,  2.836325870128992E-02,  7.346670661108449E+08,  1.318902154593068E+04,
2451246.500000000, A.D. 1999-Mar-09 00:00:00.0000, -1.313484666298760E+08,  7.059567776051139E+08,  1.559099557781552E+08,  2.836850293914737E-02,  7.348029027183834E+08,  1.397773154408145E+04,
2451256.500000000, A.D. 1999-Mar-19 00:00:00.0000, -1.426626964501533E+08,  7.046323765799700E+08,  1.526010714722150E+08,  2.837405100160887E-02,  7.349466090115888E+08,  1.476292256651910E+04,
2451266.500000000, A.D. 1999-Mar-29 00:00:00.0000, -1.539415179514697E+08,  7.031319368374753E+08,  1.492540676248732E+08,  2.837990148840916E-02,  7.350981487206944E+08,  1.554437895624917E+04,
2451276.500000000, A.D. 1999-Apr-08 00:00:00.0000, -1.651821356684956E+08,  7.014559356480459E+08,  1.458698027007740E+08,  2.838605291643569E-02,  7.352574834300182E+08,  1.632188720909071E+04,
2451286.500000000, A.D. 1999-Apr-18 00:00:00.0000, -1.763817682962545E+08,  6.996048992064313E+08,  1.424491446178692E+08,  2.839250372056437E-02,  7.354245725996088E+08,  1.709523594344842E+04,
2451296.500000000, A.D. 1999-Apr-28 00:00:00.0000, -1.875376496197023E+08,  6.975794023383076E+08,  1.389929704246517E+08,  2.839925225443209E-02,  7.355993735852557E+08,  1.786421564312409E+04,
2451306.500000000, A.D. 1999-May-08 00:00:00.0000, -1.986470294323113E+08,  6.953800681821251E+08,  1.355021659733325E+08,  2.840629679111343E-02,  7.357818416560190E+08,  1.862861846280824E+04,
2451316.500000000, A.D. 1999-May-18 00:00:00.0000, -2.097071744446064E+08,  6.930075678475686E+08,  1.319776255899086E+08,  2.841363552376231E-02,  7.359719300108484E+08,  1.938823824568337E+04,
2451326.500000000, A.D. 1999-May-28 00:00:00.0000, -2.207153691825440E+08,  6.904626200526832E+08,  1.284202517420424E+08,  2.842126656629705E-02,  7.361695897963270E+08,  2.014287072221830E+04,
2451336.500000000, A.D. 1999-Jun-07 00:00:00.0000, -2.316689168751422E+08,  6.877459907417282E+08,  1.248309547054028E+08,  2.842918795419811E-02,  7.363747701273347E+08,  2.089231390221279E+04,
2451346.500000000, A.D. 1999-Jun-17 00:00:00.0000, -2.425651403296851E+08,  6.848584926857753E+08,  1.212106522287731E+08,  2.843739764546645E-02,  7.365874181118739E+08,  2.163636841771275E+04,
2451356.500000000, A.D. 1999-Jun-27 00:00:00.0000, -2.534013827920924E+08,  6.818009850644109E+08,  1.175602691973589E+08,  2.844589352163578E-02,  7.368074788772852E+08,  2.237483750326252E+04,
2451366.500000000, A.D. 1999-Jul-07 00:00:00.0000, -2.641750087931758E+08,  6.785743730275171E+08,  1.138807372943414E+08,  2.845467338879442E-02,  7.370348955967182E+08,  2.310752711837325E+04,
2451376.500000000, A.D. 1999-Jul-17 00:00:00.0000, -2.748834049805766E+08,  6.751796072388910E+08,  1.101729946611457E+08,  2.846373497866735E-02,  7.372696095171586E+08,  2.383424608121238E+04,
2451386.500000000, A.D. 1999-Jul-27 00:00:00.0000, -2.855239809351799E+08,  6.716176834016352E+08,  1.064379855564357E+08,  2.847307594972535E-02,  7.375115599881564E+08,  2.455480608271557E+04,
2451396.500000000, A.D. 1999-Aug-06 00:00:00.0000, -2.960941699715202E+08,  6.678896417649908E+08,  1.026766600139433E+08,  2.848269388828728E-02,  7.377606844903773E+08,  2.526902164563222E+04,
2451406.500000000, A.D. 1999-Aug-16 00:00:00.0000, -3.065914299218709E+08,  6.639965666126891E+08,  9.888997349935946E+07,  2.849258630960003E-02,  7.380169186635770E+08,  2.597671004918063E+04,
