            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000,  6.731920902033445E+08, -3.509178071299157E+08, -1.392017303618850E+08,  7.65732334E+01,  9.44774940E+01,  1.02893040E+02,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000,  7.042211533054949E+08, -2.920745601278849E+08, -1.260496385463153E+08,  6.82201977E+01,  9.77903482E+01,  1.01974342E+02,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000,  7.298135627704227E+08, -2.309723061921358E+08, -1.119227878527754E+08,  6.07223804E+01,  1.00482720E+02,  1.00584921E+02,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000,  7.497899836997843E+08, -1.680887368274972E+08, -9.693310697866687E+07,  5.46018655E+01,  1.02566276E+02,  9.87534584E+01,
2382516.500000000, A.D. 1811-Jan-04 00:00:00.0000,  7.640146922686783E+08, -1.039119714706212E+08, -8.119833560045747E+07,  5.05188110E+01,  1.04052781E+02,  9.65181051E+01,
2382576.500000000, A.D. 1811-Mar-05 00:00:00.0000,  7.723960068820667E+08, -3.893686945269734E+07, -6.484109246275526E+07,  4.91285136E+01,  1.04949698E+02,  9.39264483E+01,
2382636.500000000, A.D. 1811-May-04 00:00:00.0000,  7.748864138878651E+08,  2.633861360840652E+07, -4.798793244611655E+07,  5.07821860E+01,  1.05256962E+02,  9.10355936E+01,
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000,  7.714824027123954E+08,  9.141699380670808E+07, -3.076840404960924E+07,  5.53195130E+01,  1.04964994E+02,  8.79123454E+01,
2382756.500000000, A.D. 1811-Sep-01 00:00:00.0000,  7.622240165547351E+08,  1.558047424642844E+08, -1.331410843864453E+07,  6.22054316E+01,  1.04054008E+02,  8.46334420E+01,
2382816.500000000, A.D. 1811-Oct-31 00:00:00.0000,  7.471941421535852E+08,  2.190156691859249E+08,  4.242234045950184E+06,  7.08296970E+01,  1.02494716E+02,  8.12857448E+01,
